City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
224,Lorengau,PG,-2.0226,147.2712,80.47,83,100,9.84,overcast clouds
225,Srednekolymsk,RU,67.45,153.6833,-20.31,95,97,2.57,overcast clouds
226,Idenao,CM,4.2475,9.0047,78.21,89,79,3.29,broken clouds
227,Payson,US,40.0444,-111.7321,41.36,58,0,14.97,clear sky
228,Opuwo,NA,-18.0607,13.84,66.13,31,1,4.68,clear sky
229,Burns Lake,CA,54.2331,-125.7533,22.42,77,99,2.24,overcast clouds
230,Laguna,US,38.421,-121.4238,62.08,37,0,3.0,clear sky
231,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,5.75,scattered clouds
232,Lompoc,US,34.6391,-120.4579,66.78,48,0,12.66,clear sky
233,Lahaina,US,20.8783,-156.6825,80.8,78,2,11.16,clear sky
234,Alekseyevka,RU,50.6309,38.6903,41.49,72,48,17.43,scattered clouds
235,Chuy,UY,-33.6971,-53.4616,68.76,93,100,10.89,moderate rain
236,Blagoyevo,RU,63.3667,47.9167,22.42,82,100,13.49,overcast clouds
237,La Primavera,CO,5.4906,-70.4092,81.77,75,98,5.77,overcast clouds
238,Cap Malheureux,MU,-19.9842,57.6142,70.47,71,0,1.01,clear sky
239,Alofi,NU,-19.0595,-169.9187,78.69,73,40,12.66,scattered clouds
240,Faya,SA,18.3851,42.4509,59.11,64,2,3.27,clear sky
241,Viradouro,BR,-20.8731,-48.2969,73.36,75,98,9.22,overcast clouds
242,Otradnoye,RU,59.7775,30.8181,37.96,78,99,5.03,overcast clouds
243,Mar Del Plata,AR,-38.0023,-57.5575,68.83,96,100,13.8,light intensity drizzle
244,Izhma,RU,65.0083,53.9113,14.83,94,100,9.15,light snow
245,Matara,LK,5.9485,80.5353,75.67,89,100,3.98,moderate rain
246,Ritchie,ZA,-29.038,24.6028,66.7,23,0,9.17,clear sky
247,Rangapara,IN,26.8167,92.65,61.32,83,1,4.54,clear sky
248,Solnechnyy,RU,50.7214,136.6319,14.67,88,7,2.55,clear sky
249,Hauterive,FR,46.0901,3.4459,56.16,72,63,4.61,broken clouds
250,Thunder Bay,CA,48.4001,-89.3168,26.58,63,100,6.91,overcast clouds
251,Portland,US,45.5234,-122.6762,49.44,78,100,3.0,overcast clouds
252,Kysyl-Syr,RU,63.8986,122.7617,-21.19,99,97,5.21,overcast clouds
253,Quatre Cocos,MU,-20.2078,57.7625,70.09,72,0,4.21,clear sky
254,Grindavik,IS,63.8424,-22.4338,51.75,100,100,19.57,moderate rain
255,Noshiro,JP,40.2039,140.0242,46.65,69,79,14.97,broken clouds
256,Cabedelo,BR,-6.9811,-34.8339,81.27,78,22,11.07,few clouds
257,Katsuura,JP,35.1333,140.3,62.62,65,27,18.01,scattered clouds
258,Kalmunai,LK,7.4167,81.8167,76.21,87,100,3.67,overcast clouds
259,Parana,AR,-31.732,-60.5238,69.57,81,66,16.11,broken clouds
260,Oruro,BO,-17.9833,-67.15,68.49,16,20,14.97,few clouds
261,Torbay,CA,47.6666,-52.7314,36.75,87,75,6.91,broken clouds
262,Gondanglegi,ID,-7.7479,112.0132,75.38,92,100,4.47,overcast clouds
263,Pareora,NZ,-44.4871,171.2132,55.18,97,100,7.58,overcast clouds
264,Petrivka,UA,46.9695,30.9591,45.1,89,2,7.56,clear sky
265,San-Pedro,CI,4.7485,-6.6363,78.51,84,78,6.11,broken clouds
